fband,netst,stlo,stla,meanb,meanQ,ncount
1.0-2.0,CI.POB2,-116.92382,33.68708,0.08,117.81,1
1.0-2.0,CI.POP,-118.394028,34.728497,0.12,78.54,1
1.0-2.0,CI.PSD,-116.550262,33.823929,0.23,40.977,1
1.0-2.0,CI.PSR,-117.807091,34.091808,0.15,62.832,1
1.0-2.0,CI.PTD,-118.806862,34.004429,0.31,30.403,1
1.0-2.0,CI.PUT,-117.969193,34.691151,0.2,47.124,1
1.0-2.0,CI.QAD,-119.609261,34.423672,0.14,67.32,1
1.0-2.0,CI.QLC,-119.974251,35.04084,0.53,17.783,1
1.0-2.0,CI.RAG,-116.15139,34.682892,0.34,27.72,1
1.0-2.0,CI.RCR,-116.309601,33.36237,0.36,26.18,1
1.0-2.0,CI.RHC2,-118.013329,34.00095,0.19,49.604,1
1.0-2.0,CI.RIN,-118.479248,34.28196,0.12,78.54,1
1.0-2.0,CI.RIO,-117.979561,34.104729,0.17,55.44,1
1.0-2.0,CI.RKMO,-117.609467,33.67421,0.21,44.88,1
1.0-2.0,CI.RPV,-118.404121,33.743462,0.11,85.68,1
1.0-2.0,CI.RRC,-117.989861,35.372879,0.02,471.239,1
1.0-2.0,CI.RRX,-116.996811,34.874989,0.28,33.66,1
1.0-2.0,CI.RSI,-120.208679,34.85191,0.23,40.977,1
1.0-2.0,CI.RSS,-117.326736,33.97327,0.4,23.562,1
1.0-2.0,CI.RUN,-114.978088,32.972221,0.41,22.987,1
1.0-2.0,CI.RVR,-117.37545,33.993511,0.12,78.54,1
1.0-2.0,CI.RXH,-115.622566,33.183128,0.31,30.403,1
1.0-2.0,CI.RYS,-119.352242,34.64341,0.24,39.27,1
1.0-2.0,CI.SAL,-115.985847,33.280102,0.21,44.88,1
1.0-2.0,CI.SBC,-119.71492,34.440762,0.09,104.72,1
1.0-2.0,CI.SBI,-119.029861,33.480461,0.05,188.496,1
1.0-2.0,CI.SBPX,-117.23484,34.232399,0.01,942.478,1
1.0-2.0,CI.SCI2,-118.546967,32.9799,0.02,471.239,1
1.0-2.0,CI.SDD,-117.661713,33.552589,0.11,85.68,1
1.0-2.0,CI.SDG,-117.138046,32.784,0.19,49.604,1
1.0-2.0,CI.SDR,-116.942413,32.735611,0.09,104.72,1
1.0-2.0,CI.SGL,-115.726379,32.64933,0.15,62.832,1
1.0-2.0,CI.SHO,-116.275299,35.899529,0.1,94.248,1
1.0-2.0,CI.SLB,-115.866432,33.485191,0.26,36.249,1
1.0-2.0,CI.SLH,-116.25399,33.192692,0.1,94.248,1
1.0-2.0,CI.SLM,-118.422668,34.452271,0.1,94.248,1
1.0-2.0,CI.SLR,-116.797371,33.833591,0.22,42.84,1
1.0-2.0,CI.SMF2,-118.446274,34.022011,0.17,55.44,1
1.0-2.0,CI.SMI,-120.351318,34.038181,0.15,62.832,1
1.0-2.0,CI.SMW,-120.409973,35.011082,0.28,33.66,1
1.0-2.0,CI.SNO,-116.807777,34.035149,0.15,62.832,1
1.0-2.0,CI.SOC,-117.580132,33.387611,0.09,104.72,1
1.0-2.0,CI.SOL2,-118.289001,34.436001,0.23,40.977,1
1.0-2.0,CI.SPF,-118.646141,34.05933,0.26,36.249,1
1.0-2.0,CI.SRN,-117.789383,33.828541,0.13,72.498,1
1.0-2.0,CI.SRT,-117.750511,35.692348,0.08,117.81,1
1.0-2.0,CI.STC,-119.18676,34.30302,0.13,72.498,1
1.0-2.0,CI.STS,-118.198776,33.790329,0.12,78.54,1
1.0-2.0,CI.SUN,-117.693939,34.21048,0.29,32.499,1
1.0-2.0,CI.SVD,-117.098221,34.106468,0.08,117.81,1
1.0-2.0,CI.SWP,-116.097183,32.79184,0.05,188.496,1
1.0-2.0,CI.SWS,-115.799881,32.94508,0.35,26.928,1
1.0-2.0,CI.SYP,-119.97834,34.527748,0.11,85.68,1
