,fband,netst,stlo,stla,meanb,meanQ,ncount,nearest_lon,nearest_lat,vs30
136,0.5-1.0,TA.J01E,-123.931396,43.161499,0.28,16.83,1,-123.9313,43.1613,512.0
137,0.5-1.0,TA.L02F,-123.570702,42.120899,0.05,94.248,1,-123.5713,42.1214,295.519
138,0.5-1.0,TA.P29M,-137.738098,59.630402,0.052,93.5748,5,-124.7233,48.3852,590.0514
139,0.5-1.0,TA.R31K,-135.739807,58.4133,0.334,14.1828,5,-124.7233,48.3852,590.0514
140,0.5-1.0,TA.T33K,-132.952393,56.8144,0.246,19.1898,5,-124.7213,48.3872,605.8344
141,0.5-1.0,TA.T35M,-130.249603,56.981098,0.01,471.2389999999999,5,-124.7213,48.3872,605.8344
142,0.5-1.0,UW.FISH,-123.559097,45.930599,0.01,471.239,6,-123.5593,45.9313,520.5142
143,0.5-1.0,TA.S34M,-131.131195,57.9128,0.01,471.239,4,-124.7213,48.3872,605.8344
144,0.5-1.0,UO.CHIL,-121.753639,42.624561,0.01,471.239,4,-121.7534,42.6254,332.6396
145,0.5-1.0,UO.DFAZ,-122.109299,43.240601,0.01,471.239,6,-122.1094,43.2413,477.0
146,0.5-1.0,UO.WLOO,-122.737694,44.523418,0.0499999999999999,99.484,6,-122.7373,44.5233,668.8057
147,0.5-1.0,UW.BES3,-122.525337,47.642021,0.01,471.239,1,-122.5254,47.6412,568.2201
148,0.5-1.0,UW.KENT,-120.635101,45.235699,0.01,471.239,2,-120.6354,45.2353,529.7396
149,0.5-1.0,UW.OT3,-119.234131,46.668861,0.14,44.88,2,-119.2334,46.6693,329.8799
150,0.5-1.0,UW.RAD1,-122.363335,47.636131,0.01,471.239,1,-122.3634,47.6352,607.6203
151,0.5-1.0,UW.RAD2,-122.358353,47.631645,0.01,471.239,1,-122.3574,47.6312,352.8435
152,0.5-1.0,UW.RAD3,-122.362602,47.633865,0.01,471.239,1,-122.3634,47.6332,557.4368
153,0.5-1.0,UW.RAD4,-122.354973,47.638039,0.03,157.08,1,-122.3554,47.6372,353.2525
154,0.5-1.0,UW.RAD5,-122.356667,47.635693,0.02,235.619,1,-122.3574,47.6352,430.9972
155,0.5-1.0,UW.STOR,-121.9888,47.188099,0.1133333333333333,64.20333333333333,3,-121.9894,47.1872,449.3861
156,0.5-1.0,UW.TUCA,-118.1455,46.513901,0.01,471.239,2,-118.1455,46.5133,542.9844
157,0.5-1.0,UW.UMAT,-118.959503,45.290401,0.235,21.479,4,-118.9594,45.2913,545.1071
158,0.5-1.0,UW.WOLL,-118.920998,47.057301,0.02,287.97933333333333,3,-118.9214,47.0572,286.186
159,0.5-1.0,CC.PR01,-122.037567,46.91011,0.01,471.2389999999999,5,-122.0374,46.9093,463.0
160,0.5-1.0,CC.PR02,-122.048637,46.918304,0.086,78.6498,5,-122.0494,46.9193,490.49
161,0.5-1.0,CC.PR04,-121.988525,46.929749,0.272,17.546799999999998,5,-121.9894,46.9293,539.0
162,0.5-1.0,TA.R32K,-134.518097,58.2747,0.225,20.954500000000003,2,-124.7213,48.3872,605.8344
163,0.5-1.0,UW.BERY,-122.096001,48.264099,0.022,251.3274,5,-122.0954,48.2632,355.6378
164,0.5-1.0,UW.BST01,-122.391701,47.681702,0.01,471.239,2,-122.3914,47.6812,364.0512
165,0.5-1.0,UW.BST03,-122.3619,47.715389,0.01,471.239,2,-122.3614,47.7152,463.2331
166,0.5-1.0,UW.BST04,-122.29483,47.70089,0.01,471.239,1,-122.2954,47.7012,387.7118
167,0.5-1.0,UW.GBB,-119.628983,46.608688,0.01,471.239,2,-119.6294,46.6093,538.597
168,0.5-1.0,UW.H2O,-119.42411,46.39555,0.0375,141.37175000000002,4,-119.4234,46.3953,368.3764
169,0.5-1.0,UW.KREP,-121.459702,45.885201,0.166,29.3206,5,-121.4594,45.8853,524.5464
170,0.5-1.0,UW.LUMI,-122.706299,48.7201,0.026,188.4956,5,-122.7053,48.7192,585.3542
171,0.5-1.0,UW.PRO,-119.686813,46.212521,0.158,31.8836,5,-119.6874,46.2133,801.0
172,0.5-1.0,UW.RCM,-121.732979,46.83564,0.044,172.0024,5,-121.7334,46.8353,900.0
173,0.5-1.0,UW.SNI2,-119.655151,46.464802,0.032,225.52139999999997,5,-119.6554,46.4653,374.85
174,0.5-1.0,CC.CLCV,-122.088882,42.976139,0.125,42.262,4,-122.0894,42.9754,600.0
175,0.5-1.0,CC.CLMS,-122.016258,42.922958,0.2366666666666667,26.56033333333333,3,-122.0154,42.9234,680.0
176,0.5-1.0,CC.HIYU,-121.807396,45.43523,0.1175,40.47825,4,-121.8074,45.4353,824.0
177,0.5-1.0,CC.HUSB,-121.849358,44.119453,0.13,36.249,1,-121.8494,44.1193,672.0
178,0.5-1.0,CC.REM,-122.185501,46.200199,0.1875,25.2855,4,-122.1854,46.1993,900.0
179,0.5-1.0,CC.RUSH,-121.944389,46.903061,0.0675,71.94825,4,-121.9434,46.9033,621.0
180,0.5-1.0,CC.SEP,-122.190857,46.19978,0.2575,18.4055,4,-122.1914,46.1993,900.0
181,0.5-1.0,CC.SIFT,-121.953201,46.866871,0.1225,38.652,4,-121.9534,46.8673,590.0275
182,0.5-1.0,CC.TIMB,-121.710358,45.33572,0.01,471.239,4,-121.7094,45.3353,900.0
183,0.5-1.0,UO.ALSE,-123.590424,44.381817,0.11,42.84,2,-123.5913,44.3813,322.523
184,0.5-1.0,UO.LAIR,-123.931396,43.161499,0.04,117.81,1,-123.9313,43.1613,512.0
185,0.5-1.0,UO.WOOD,-122.304604,42.217899,0.31,15.201,1,-122.3054,42.2174,638.4779
186,0.5-1.0,UW.BST05,-122.327637,47.682049,0.01,471.239,1,-122.3274,47.6812,309.0406
187,0.5-1.0,UW.BST08,-122.365562,47.680519,0.01,471.239,1,-122.3654,47.6812,391.9922
188,0.5-1.0,UW.BST09,-122.30899,47.653999,0.01,471.239,2,-122.3094,47.6532,429.6708
189,0.5-1.0,UW.BST11,-122.328827,47.641972,0.01,471.239,1,-122.3294,47.6412,339.1317
190,0.5-1.0,UW.BST12,-122.374001,47.640751,0.06,78.54,1,-122.3734,47.6412,702.7404
191,0.5-1.0,UW.BST15,-122.225441,47.576012,0.04,117.81,1,-122.2254,47.5752,485.4916
192,0.5-1.0,UW.BST19,-122.908989,47.62059,0.01,471.239,1,-122.9093,47.6192,628.1262
193,0.5-1.0,UW.BST22,-122.884773,47.42738,0.01,471.239,2,-122.8853,47.4272,543.5786
194,0.5-1.0,UW.BST23,-123.068977,47.49984,0.1,47.124,1,-123.0693,47.4992,787.0
195,0.5-1.0,UW.CBS,-120.042847,47.804691,0.1125,55.9405,4,-120.0434,47.8052,853.0
196,0.5-1.0,UW.DOSE,-122.971802,47.717201,0.1666666666666666,28.89133333333333,3,-122.9713,47.7172,342.0
197,0.5-1.0,UW.HOOD,-121.650932,45.322262,0.0474999999999999,121.73675,4,-121.6514,45.3213,423.7547
198,0.5-1.0,UW.HOPR,-120.894302,47.922901,0.04,269.2795,2,-120.8934,47.9232,386.7527
199,0.5-1.0,UW.LIGO,-119.417686,46.461704,0.0625,258.19975,4,-119.4174,46.4613,266.287
200,0.5-1.0,UW.LRIV,-123.503998,48.057499,0.0225,255.2545,4,-123.5033,48.0572,506.2516
201,0.5-1.0,UW.OLQN,-123.812523,47.513248,0.01,471.239,4,-123.8133,47.5132,322.812
202,0.5-1.0,UW.RADR,-123.798973,46.42181,0.1099999999999999,43.33425,4,-123.7993,46.4213,401.0
203,0.5-1.0,UW.TOLE,-122.845398,46.452694,0.0575,86.6745,4,-122.8453,46.4533,359.157
204,0.5-1.0,UW.YPT,-118.963173,46.048351,0.01,471.239,3,-118.9634,46.0493,454.9056
205,0.5-1.0,CC.BRSP,-121.708427,45.40155,0.19,26.851333333333333,3,-121.7094,45.4013,900.0
206,0.5-1.0,CC.CARB,-122.005409,46.988319,0.2,23.601333333333333,3,-122.0054,46.9892,653.7688
207,0.5-1.0,CC.KAUT,-121.857391,46.730263,0.1166666666666666,42.938,3,-121.8574,46.7293,483.0854
208,0.5-1.0,CC.PALM,-121.705536,45.358574,0.1533333333333333,31.57033333333333,3,-121.7054,45.3593,900.0
209,0.5-1.0,CC.PARA,-121.742149,46.786442,0.01,471.239,3,-121.7414,46.7873,720.5153
210,0.5-1.0,CC.PR03,-122.032692,46.903435,0.015,353.429,2,-122.0334,46.9033,505.7933
211,0.5-1.0,CC.SVIC,-121.253273,43.643082,0.08,62.83200000000001,2,-121.2534,43.6433,449.0177
212,0.5-1.0,CC.YOCR,-121.743538,45.379177,0.01,471.239,3,-121.7434,45.3793,900.0
213,0.5-1.0,UO.CAVE,-123.570709,42.120869,0.08,58.905,1,-123.5713,42.1214,295.519
214,0.5-1.0,UO.HBUG,-124.379433,42.640789,0.01,471.239,3,-124.3793,42.6414,584.3378
215,0.5-1.0,UO.MONKS,-123.003616,45.994202,0.2366666666666666,19.942666666666668,3,-123.0033,45.9933,509.2899
216,0.5-1.0,UO.NBFR,-123.853233,45.726151,0.0266666666666666,183.25966666666667,3,-123.8533,45.7253,352.491
217,0.5-1.0,UO.VITI,-123.318085,44.28157,0.01,471.239,3,-123.3173,44.2813,577.0541
218,0.5-1.0,UW.BRAN,-117.227699,45.9734,0.205,23.111,2,-117.2275,45.9733,830.5763
219,0.5-1.0,UW.BST29,-122.223015,47.707245,0.01,471.239,1,-122.2234,47.7072,358.0632
220,0.5-1.0,UW.DONK,-122.156731,48.42384,0.01,471.239,1,-122.1574,48.4232,900.0
221,0.5-1.0,UW.MDW,-119.762154,46.613022,0.08,58.905,1,-119.7614,46.6133,665.8259
222,0.5-1.0,UW.MOX,-120.299339,46.577179,0.095,57.39450000000001,2,-120.2994,46.5773,440.5062
223,0.5-1.0,UW.PRIN,-122.630852,48.21172,0.1166666666666666,42.97866666666667,3,-122.6314,48.2112,422.1769
224,0.5-1.0,UW.WAT2,-120.114433,47.620239,0.4599999999999999,10.356666666666667,3,-120.1154,47.6212,419.2
225,0.5-1.0,UW.WHGC,-123.729866,46.655991,0.2866666666666667,16.560333333333332,3,-123.7293,46.6553,319.0712
226,0.5-1.0,UW.WYNO,-123.612961,47.433922,0.12,39.27,1,-123.6133,47.4332,478.0
227,0.5-1.0,CC.CRBN,-121.96106,46.988132,0.17,27.72,2,-121.9614,46.9872,900.0
228,0.5-1.0,CC.GTWY,-121.916763,46.740162,0.145,32.538,2,-121.9174,46.7393,383.7456
229,0.5-1.0,CC.LSON,-121.647079,45.359612,0.05,94.248,2,-121.6474,45.3593,818.6089
230,0.5-1.0,CC.OPCH,-121.571175,46.731319,0.01,471.239,1,-121.5714,46.7313,397.1562
231,0.5-1.0,CC.VOIT,-121.983398,46.966331,0.02,235.619,1,-121.9834,46.9672,436.1511
232,0.5-1.0,UO.KBO,-124.225983,42.212357,0.33,14.28,1,-124.2253,42.2114,361.0
233,0.5-1.0,UO.KEB,-124.33419,42.872353,0.185,25.491,2,-124.3333,42.8714,711.0
234,0.5-1.0,UO.KUHN,-122.89579,45.78521,0.01,471.239,2,-122.8953,45.7853,415.6618
235,0.5-1.0,UO.UCHR,-123.870911,44.834572,0.01,471.239,2,-123.8713,44.8353,608.0
236,0.5-1.0,UW.ANGUS,-123.492767,47.100842,0.1,47.124,1,-123.4933,47.1012,469.1821
237,0.5-1.0,UW.ARTIC,-123.758667,46.80521,0.1,47.124,2,-123.7593,46.8053,510.0302
